,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
0,Bachelors,2017,Bangalore,3,34,Male,No,0,0
13,Bachelors,2016,Bangalore,3,39,Male,No,2,0
14,Bachelors,2012,Bangalore,3,37,Male,No,4,0
20,Bachelors,2012,Bangalore,3,37,Male,No,0,0
26,Bachelors,2016,Bangalore,3,37,Male,No,2,0
33,Bachelors,2016,Bangalore,3,40,Male,No,5,0
40,Bachelors,2015,Bangalore,3,36,Male,No,1,0
43,Bachelors,2014,Bangalore,3,36,Male,No,0,0
56,Bachelors,2016,Bangalore,3,38,Male,No,2,0
64,Bachelors,2016,Bangalore,3,34,Male,No,4,0
65,Bachelors,2018,Bangalore,3,40,Male,No,1,1
71,Masters,2017,Bangalore,3,31,Male,No,4,0
75,Bachelors,2015,Bangalore,3,40,Male,No,0,1
78,Bachelors,2012,Bangalore,3,39,Male,No,1,0
82,Bachelors,2016,Bangalore,3,38,Male,No,5,0
94,Bachelors,2014,Bangalore,3,39,Male,No,3,1
2990,Bachelors,2018,Bangalore,3,36,Male,No,2,1
2991,Bachelors,2018,Bangalore,3,37,Male,No,4,1
2999,Bachelors,2017,Bangalore,3,33,Male,No,2,0
3004,Bachelors,2016,Bangalore,3,41,Male,No,0,0
3007,Bachelors,2017,Bangalore,3,31,Male,No,0,0
3012,Bachelors,2015,Bangalore,3,37,Male,Yes,3,0
3013,Bachelors,2016,Bangalore,3,32,Male,No,1,0
3015,Bachelors,2014,Bangalore,3,36,Male,No,3,0
3016,Bachelors,2015,Bangalore,3,36,Male,No,5,0
3017,Bachelors,2017,Bangalore,3,41,Male,Yes,3,0
3020,Bachelors,2013,Bangalore,3,32,Male,No,1,0
3021,Bachelors,2012,Bangalore,3,36,Male,No,2,0
3022,Bachelors,2013,Bangalore,3,36,Male,No,4,0
3023,Bachelors,2014,Bangalore,3,36,Male,No,1,0
3025,Bachelors,2018,Bangalore,3,34,Male,No,3,1
3026,Bachelors,2018,Bangalore,3,37,Male,Yes,5,1
3032,Masters,2012,Bangalore,2,32,Male,No,3,1
3038,Bachelors,2014,Bangalore,3,39,Male,Yes,0,0
