,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
527,528,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,79.0,107.0,"Laundry, Storage Baskets",4.6,"Multipurpose container with an attractive design and made from food-grade plastic for your hygiene and safety ideal for storing pulses. Grains, spices, and more with easy opening and closing flip-open lid.Strong, durable and transparent body for longevity and easy identification of contents. Multipurpose storage solution for your daily needs stores your everyday food essentials in style with the Nakoda container set. With transparent bodies, you can easily identify your stored items without having to open the lids. These containers are ideal for storing a large variety of items such as food grains, snacks and pulses to sugar, spices, condiments and more. Featuring unique flip-open lids, you can easily open and close this container without any hassles.
The Nakoda container is made from high-quality food-grade and BPA-free plastic that is 100% safe for storing food items. You can safely store your food items in this container without worrying about contamination and harmful toxins. As they are constructed using highly durable virgin plastic, these containers will last for a long time even with regular use. These containers can enhance the overall look of your kitchen decor. Being dishwasher safe, cleaning and maintaining these containers is an easy task. You can also use a simple soap solution to manually wash and retain their looks for a long time."
2265,2266,Multi Utility Transparent Plastic Basket/Tray - Medium,Cleaning & Household,Bins & Bathroom Ware,Nakoda,329.0,425.0,"Laundry, Storage Baskets",4.8,"This tray is made of food-grade high-quality plastic and is strong and easy to use. This can be used for storage as well as serve. This is ideal for office, school, hospitals, shops, home, kitchen and other purposes."
4946,4947,"Star Premium Multipurpose Plastic Basket - Small, Medium & Big",Cleaning & Household,Bins & Bathroom Ware,Swastik,129.0,169.0,"Laundry, Storage Baskets",4.2,Swastik Star Basket can be used in multiple things. It can be used as a fruit basket or a flower basket. This basket makes your kitchen and dining table look beautiful. These baskets are manufactured using food grade plastics which ensures no food contamination. It can be used to store toys as well.
5415,5416,"Fruit & Vegetable Colander/Basket/Strainer - Small, Red, Deluxe, 13220DB",Cleaning & Household,Bins & Bathroom Ware,Ratan,49.0,75.0,"Laundry, Storage Baskets",4.3,Use this perforated bowl to strain off the liquid from the fruits and vegetables and other food items easily. It prevents the wastage of the food items while washing or cooking. These are made of high-quality food grade plastic.
5849,5850,Della Storage Container With Lid - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,169.0,210.0,"Laundry, Storage Baskets",5.0,"Multipurpose storage solution for your daily needs stores your everyday food essentials in style. These containers are ideal for storing a large variety of items such as food grains, snacks and pulses to sugar, spices, condiments and more. You can easily open and close these containers without any hassles. Suitable to use multipurpose storage with airtight cap, this jar can also use in the microwave oven. Food grade jar and cap time to replace your old plastic jars, BPA free, air tight, freezer safe, non-toxic container,100% food grade.
Transparent body for easy identification of contents, containers have an air tight seal that completely locks the crisp and flavour of the contents you put in as does not lose moisture, the taste and nutritive value of the contents remain intact for a long time. Ideal for any busy kitchen, the lidded food-storage containers make it simple to freeze meals ahead of time, store healthy snacks or leftovers in the fridge, or keep dry goods fresh in the pantry. Bpa free and stain resistant, the plastic containers offer long-lasting durable strength. The food-storage containers offer a space-saving stackable design. They fit one on top of the other."
6280,6281,"Plastic Basket Fruit & Vegetable Colande/Strainer - Large, Blue, Deluxe, 13230OI",Cleaning & Household,Bins & Bathroom Ware,Ratan,89.0,132.0,"Laundry, Storage Baskets",4.4,Use this perforated bowl to strain off the liquid from the fruits and vegetables and other food items easily. It prevents the wastage of the food items while washing or cooking. These are made of high-quality food grade plastic.
6291,6292,Washing Net Bag - For Socks/Stocking,Cleaning & Household,Bins & Bathroom Ware,NSH,119.0,149.0,"Laundry, Storage Baskets",4.4,"NSH Washing nets protect delicate clothing articles during a laundry cycle. They are made using breathable, fine mesh fabric and a zipper closure that allows ample flow of suds and water while avoiding the clothes from wrapping with other clothes. The net is suitable for automatic, semi- automatic, dehydrated and drying machines. The product can only be returned if it is not used and is in its packed condition."
6878,6879,"Plastic Basket Fruit & Vegetable Colander/Strainer - Medium, Blue, Deluxe, 13220 OI",Cleaning & Household,Bins & Bathroom Ware,Ratan,69.0,106.0,"Laundry, Storage Baskets",4.2,Use this perforated bowl to strain off the liquid from the fruits and vegetables and other food items easily. It prevents the wastage of the food items while washing or cooking. These are made of high-quality food-grade plastic.
7851,7852,Pluto Storage Container - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,169.0,169.0,"Laundry, Storage Baskets",5.0,"Multipurpose storage solution for your daily needs stores your everyday food essentials in style. These containers are ideal for storing a large variety of items such as food grains, snacks and pulses to sugar, spices, condiments and more. You can easily open and close these containers without any hassles. Suitable to use multipurpose storage with airtight cap, this jar can also use in a microwave oven. Food grade jar and cap time to replace your old plastic jars, BPA free, air tight, freezer safe, non-toxic container,100% food grade. Transparent body for easy identification of contents, containers have an air tight seal that completely locks the crisp and flavour of the contents you put in as does not lose moisture, the taste and nutritive value of the contents remain intact for a long time. Ideal for any busy kitchen, the lidded food-storage containers make it simple to freeze meals ahead of time, store healthy snacks or leftovers in the fridge, or keep dry goods fresh in the pantry. BPA free and stain resistant, the plastic containers offer long-lasting durable strength. The food-storage containers offer a space-saving stackable design. They fit one on top of the other."
9807,9808,Pluto Storage Container - Assorted Colour,Cleaning & Household,Bins & Bathroom Ware,Nakoda,172.0,172.0,"Laundry, Storage Baskets",5.0,"Multipurpose storage solution for your daily needs stores your everyday food essentials in style. These containers are ideal for storing a large variety of items such as food grains, snacks and pulses to sugar, spices, condiments and more. You can easily open and close these containers without any hassles. Suitable to use multipurpose storage with airtight cap, this jar can also use in a microwave oven. Food grade jar and cap time to replace your old plastic jars, BPA free, air tight, freezer safe, non-toxic container,100% food grade. Transparent body for easy identification of contents, containers have an air tight seal that completely locks the crisp and flavour of the contents you put in as does not lose moisture, the taste and nutritive value of the contents remain intact for a long time. Ideal for any busy kitchen, the lidded food-storage containers make it simple to freeze meals ahead of time, store healthy snacks or leftovers in the fridge, or keep dry goods fresh in the pantry. BPA free and stain resistant, the plastic containers offer long-lasting durable strength. The food-storage containers offer a space-saving stackable design. They fit one on top of the other."
