,index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
139,140,Glass Water Bottle - Aquaria Organic Purple,"Kitchen, Garden & Pets",Storage & Accessories,Cello,369.0,425.0,Water & Fridge Bottles,4.8,"A cheerful pattern that adorns this brightly hued glass bottle. Bring home the colourful eccentricity of these Italian milk and water bottle for a pleasing sip each time as they are airtight. This serves as an ideal way to store milk, water, juices or just for decorative pieces."
1038,1039,"Glass Water Bottle With Round Base - Transparent, B1364","Kitchen, Garden & Pets",Storage & Accessories,BB Home,199.0,449.0,Water & Fridge Bottles,4.1,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
1701,1702,H2O Unbreakable Water Bottle - Pink,"Kitchen, Garden & Pets",Storage & Accessories,Cello,139.0,175.0,Water & Fridge Bottles,4.4,"The Cello H2O Unbreakable bottle is designed for versatility and high durability. The set is made to be the safest choice for you and your family as it is extremely hygienic and 100% food grade. These bottles are reusable, sturdy, portable and useful when it comes to storing beverages.Benefits: BPA free and leak proof Break proof and crystal clearHygienic and 100-per cent food-gradeFreezer safe"
2209,2210,Water Bottle H2O Purple,"Kitchen, Garden & Pets",Storage & Accessories,Cello,149.0,175.0,Water & Fridge Bottles,4.2,"The Cello H2O Unbreakable bottle is designed for versatility and high durability. The set is made to be the safest choice for you and your family as it is extremely hygienic and 100% food grade. These bottles are reusable, sturdy, portable and useful when it comes to storing beverages.Benefits : BPA free and leak proofBreak proof and crystal clearHygienic and 100-per cent food-gradeFreezer safe"
2704,2705,H2O Unbreakable Water Bottle - Green,"Kitchen, Garden & Pets",Storage & Accessories,Cello,774.0,1050.0,Water & Fridge Bottles,4.4,"Vibrant and durable, this water bottle from the house of Cello is a must-buy. this bottle is lightweight and easy to clean. A versatile bottle which fits snugly in the refrigerator door pocket that makes storing water at home or outdoors easy."
2908,2909,Regel Tritan Plastic Sports Water Bottle - Black,"Kitchen, Garden & Pets",Storage & Accessories,Nouvetta,319.0,325.0,Water & Fridge Bottles,5.0,"This bottle can be used for hot and icy cold beverages. Protect your beverage with intelligently designed Tritan 100% food-grade material. The bottle is intelligently designed making it completely leak proof to prevent the beverage from spilling out. The bottle is easy to clean. With its steel body, easy grip and wide mouth, it becomes easy to reach every inch of your bottle for proper cleaning. Made with odour resistant material, the bottle maintains the essence of your drinks for hours keeping the bad odour far away. Also, it will not stink once cleaned properly."
3225,3226,Apsara 1 Water Bottle - Assorted Colour,"Kitchen, Garden & Pets",Storage & Accessories,Steelo Sunpet,159.0,270.0,Water & Fridge Bottles,3.7,"Steelo Sunpet Water Bottle - Apsara / Rasna, Assorted Colour. Steelo Rasna water bottle is ideal for storing water in the fridge or for keeping it accessible for drinking water, whenever required. It is made of high quality, USFDA approved Food Grade PET Poly Ethylene Threpthalate material that is also odourless. The bottle fits snugly in the refrigerator door pocket and can be used on a daily basis.Benefits : Break and leak proof and crystal clearHygienic and 100-per cent food gradeFreezer safe"
3481,3482,"Glass Water Bottle With Round Base - Yellow, B1363","Kitchen, Garden & Pets",Storage & Accessories,BB Home,209.0,499.0,Water & Fridge Bottles,4.5,"A stylish solution for all your homebrews is this elegantly designed bottle. The bottle is designed using high-quality glass, which proves to be solid and offers great finishing. It features a seal cap with a long-neck design for an easier grip. You can store water, juices, brews and more. Keep your drinks fresh and preserve them for a long time."
3669,3670,"Trendy Stainless Steel Bottle With Steel Cap - Steel Matt Finish, PXP 1002 CV","Kitchen, Garden & Pets",Storage & Accessories,BB Home,229.0,445.0,Water & Fridge Bottles,4.0,"Now free your environment, and yourself from the unhealthy plastic bottles and get a healthier one-time product for all your needs. These high-grade stainless steel bottles are here to enhance your dining and travelling experience, saving you from the negative effects of plastic. The single-walled steel bottles are perfect add-ons to your kitchen collection if you are looking for light-weighed, durable, classy looking product. The bottle comes with sipper & wide mouth steel cap, catering to double usage. Be it going to the gym, or sending it with the kids to school, the colourful sipper can always make it a very convenient, handy and more importantly a style-statement product. You can take it to the office or just keep on the dinner table. Open the wide mouth lid and use at ease. The bottles come with the major USP of inter-changeable lid facility. Now you can make the same steel cap bottle as a sipper bottle by just interchanging the lids. Hence, get 2 of two-in-one featured bottles of same model and capacities and get the best of both, with a variety of colours!"
3708,3709,"Penta Plastic Pet Water Bottle - Violet, Wide Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,149.0,269.0,Water & Fridge Bottles,4.0,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
3834,3835,Glass Water Bottle With Maroon Cap - BB1245MRN,"Kitchen, Garden & Pets",Storage & Accessories,DP,279.0,499.0,Water & Fridge Bottles,5.0,Redefine the experience of enjoying various beverages in this captivating looking bottles. The bottle is created using high-quality glass that ensures a classy finish and also offers to be durable yet lightweight features a sleek design that can be fitted anywhere easily. It is hygienic and boasts easy to hold design. Carry anywhere and everywhere with all convenience.
